"","X.Organism.Name","Size..Mb.","GC.","Scaffolds","Genes","Release.Date","Modify.Date","Assembly.Accession","genus","strain","acc","full_ftp"
"26769","Chlamydia trachomatis G/9768",1.04281,"41.3","1","967","2010/05/21","2017/03/22","GCA_000092685.1","trachomatis","Chlamydia","NC_017429.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/685/GCA_000092685.1_ASM9268v1/GCA_000092685.1_ASM9268v1_genomic.fasta"
"26772","Corynebacterium glutamicum",3.16249,"54.0856","2","3003","2014/08/21","2017/04/02","GCA_000742735.1","Corynebacterium glutamicum","Corynebacterium glutamicum","NZ_CP007724.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/735/GCA_000742735.1_ASM74273v1/GCA_000742735.1_ASM74273v1_genomic.fasta"
"26773","Burkholderia mallei",5.87493,"68.5161","2","6248","2014/09/18","2017/04/02","GCA_000756025.2","Burkholderia mallei","Burkholderia mallei","chromosome 1:NZ_CP008732.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/025/GCA_000756025.2_ASM75602v2/GCA_000756025.2_ASM75602v2_genomic.fasta"
"26775","Bacillus thuringiensis MC28",6.69453,"34.9245","8","7027","2012/10/01","2017/06/15","GCA_000300475.1","thuringiensis","Bacillus","NC_018693.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/475/GCA_000300475.1_ASM30047v1/GCA_000300475.1_ASM30047v1_genomic.fasta"
"26776","Ralstonia solanacearum",5.60824,"67.0383","2","5011","2016/08/23","2017/04/05","GCA_001708525.1","Ralstonia solanacearum","Ralstonia solanacearum","NZ_CP016904.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/708/525/GCA_001708525.1_ASM170852v1/GCA_001708525.1_ASM170852v1_genomic.fasta"
"26778","Vibrio cholerae",4.25802,"47.7124","3","4108","2014/10/10","2017/03/24","GCA_000765415.1","Vibrio cholerae","Vibrio cholerae","chromosome 1:NZ_CP007634.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/415/GCA_000765415.1_ASM76541v1/GCA_000765415.1_ASM76541v1_genomic.fasta"
"26779","Clostridioides difficile",4.30093,"29.0978","2","4051","2017/04/05","2017/08/03","GCA_002080065.1","Clostridioides difficile","Clostridioides difficile","NZ_CP016318.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/080/065/GCA_002080065.1_ASM208006v1/GCA_002080065.1_ASM208006v1_genomic.fasta"
"26782","Streptococcus salivarius",2.32635,"39.6824","2","2177","2017/04/18","2017/04/21","GCA_002094975.1","Streptococcus salivarius","Streptococcus salivarius","NZ_CP015283.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/094/975/GCA_002094975.1_ASM209497v1/GCA_002094975.1_ASM209497v1_genomic.fasta"
"26783","Yersinia pseudotuberculosis",4.77456,"47.4599","2","4426","2015/02/09","2017/04/03","GCA_000834415.1","Yersinia pseudotuberculosis","Yersinia pseudotuberculosis","NZ_CP009759.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/415/GCA_000834415.1_ASM83441v1/GCA_000834415.1_ASM83441v1_genomic.fasta"
"26784","Francisella tularensis subsp. mediasiatica FSC147",1.89389,"32.3","1","1930","2008/05/07","2017/04/10","GCA_000018925.1","tularensis","Francisella","NC_010677.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/925/GCA_000018925.1_ASM1892v1/GCA_000018925.1_ASM1892v1_genomic.fasta"
"26785","Brucella abortus bv. 6 str. 870",3.28115,"57.2353","2","3368","2014/08/15","2017/03/24","GCA_000740215.1","abortus","Brucella","chromosome 1:NZ_CP007709.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/740/215/GCA_000740215.1_ASM74021v1/GCA_000740215.1_ASM74021v1_genomic.fasta"
"26786","Lactobacillus delbrueckii subsp. sunkii",2.00434,"50.1","1","1987","2016/12/05","2017/04/06","GCA_001888965.1","delbrueckii","Lactobacillus","NZ_CP018217.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/965/GCA_001888965.1_ASM188896v1/GCA_001888965.1_ASM188896v1_genomic.fasta"
"26788","Xanthomonas citri subsp. citri",5.22094,"64.7386","3","4722","2015/03/24","2017/04/03","GCA_000961235.1","citri","Xanthomonas","NZ_CP009001.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/961/235/GCA_000961235.1_ASM96123v1/GCA_000961235.1_ASM96123v1_genomic.fasta"
"26789","Xanthomonas oryzae pv. oryzicola",4.79062,"64.1","1","4485","2015/06/30","2017/04/11","GCA_001042775.1","oryzae","Xanthomonas","NZ_CP011956.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/775/GCA_001042775.1_ASM104277v1/GCA_001042775.1_ASM104277v1_genomic.fasta"
"26790","Campylobacter fetus subsp. testudinum Sp3",1.81905,"33.1","1","1821","2016/01/04","2017/04/04","GCA_001484645.1","fetus","Campylobacter","NZ_CP010953.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/645/GCA_001484645.1_ASM148464v1/GCA_001484645.1_ASM148464v1_genomic.fasta"
"26793","Rhodopseudomonas palustris DX-1",5.40412,"65.4","1","5004","2010/12/29","2017/05/19","GCA_000177255.2","palustris","Rhodopseudomonas","NC_014834.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/255/GCA_000177255.2_ASM17725v2/GCA_000177255.2_ASM17725v2_genomic.fasta"
"26799","Coxiella burnetii",2.00654,"42.6368","2","2217","2017/04/18","2017/04/21","GCA_002094935.1","Coxiella burnetii","Coxiella burnetii","NZ_CP020616.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/094/935/GCA_002094935.1_ASM209493v1/GCA_002094935.1_ASM209493v1_genomic.fasta"
"26800","Vibrio parahaemolyticus",5.15243,"45.3276","2","4953","2016/02/11","2017/03/19","GCA_001558495.1","Vibrio parahaemolyticus","Vibrio parahaemolyticus","chromosome 1:NZ_CP014046.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/495/GCA_001558495.1_ASM155849v1/GCA_001558495.1_ASM155849v1_genomic.fasta"
"26801","Bacillus subtilis XF-1",4.06119,"43.9","1","4175","2013/02/08","2017/03/23","GCA_000338735.1","subtilis","Bacillus","NC_020244.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/735/GCA_000338735.1_ASM33873v1/GCA_000338735.1_ASM33873v1_genomic.fasta"
"26802","Lactobacillus casei",3.13287,"47.9","1","3093","2017/06/13","2017/06/15","GCA_002192215.1","Lactobacillus casei","Lactobacillus casei","NZ_CP017065.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/192/215/GCA_002192215.1_ASM219221v1/GCA_002192215.1_ASM219221v1_genomic.fasta"
"26804","Lactobacillus helveticus",2.05832,"37","1","2097","2016/08/10","2017/04/05","GCA_001702095.1","Lactobacillus helveticus","Lactobacillus helveticus","NZ_CP016827.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/702/095/GCA_001702095.1_ASM170209v1/GCA_001702095.1_ASM170209v1_genomic.fasta"
"26807","Rickettsia rickettsii str. Morgan",1.26981,"32.5","1","1540","2015/02/03","2017/04/03","GCA_000831545.1","rickettsii","Rickettsia","NZ_CP006010.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/545/GCA_000831545.1_ASM83154v1/GCA_000831545.1_ASM83154v1_genomic.fasta"
"26814","Sulfolobus islandicus LAL14/1",2.46518,"35.1","1","2728","2013/04/15","2017/04/01","GCA_000364745.1","islandicus","Sulfolobus","NC_021058.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/745/GCA_000364745.1_ASM36474v1/GCA_000364745.1_ASM36474v1_genomic.fasta"
"26817","Klebsiella pneumoniae",5.7815,"56.9738","5","5922","2014/02/05","2017/02/21","GCA_000364385.3","Klebsiella pneumoniae","Klebsiella pneumoniae","chromosome 1:NZ_CP006659.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/385/GCA_000364385.3_ASM36438v3/GCA_000364385.3_ASM36438v3_genomic.fasta"
"26818","Enterococcus faecalis",2.80343,"37.6","1","2867","2016/03/28","2017/03/28","GCA_001598635.1","Enterococcus faecalis","Enterococcus faecalis","NZ_CP014949.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/598/635/GCA_001598635.1_ASM159863v1/GCA_001598635.1_ASM159863v1_genomic.fasta"
"26819","Clostridium botulinum E3 str. Alaska E43",3.65964,"27.4","1","3297","2008/05/16","2017/03/22","GCA_000020285.1","botulinum","Clostridium","NC_010723.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/285/GCA_000020285.1_ASM2028v1/GCA_000020285.1_ASM2028v1_genomic.fasta"
"26823","Mycoplasma mycoides subsp. mycoides",1.16105,"24","1","1119","2016/02/09","2017/04/04","GCA_001554075.1","mycoides","Mycoplasma","NZ_CP011261.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/554/075/GCA_001554075.1_ASM155407v1/GCA_001554075.1_ASM155407v1_genomic.fasta"
"26824","Burkholderia thailandensis",6.72912,"67.6527","2","6472","2014/09/18","2017/04/03","GCA_000808035.2","Burkholderia thailandensis","Burkholderia thailandensis","chromosome 1:NZ_CP008914.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/808/035/GCA_000808035.2_ASM80803v2/GCA_000808035.2_ASM80803v2_genomic.fasta"
"26828","Rickettsia prowazekii str. Breinl",1.1093,"29","1","921","2013/04/11","2017/04/01","GCA_000367405.1","prowazekii","Rickettsia","NC_020993.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/367/405/GCA_000367405.1_ASM36740v1/GCA_000367405.1_ASM36740v1_genomic.fasta"
"26831","Rhizobium leguminosarum bv. viciae",7.95255,"60.5875","7","7840","2017/08/08","2017/08/10","GCA_002243365.1","leguminosarum","Rhizobium","NZ_CP022665.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/243/365/GCA_002243365.1_ASM224336v1/GCA_002243365.1_ASM224336v1_genomic.fasta"
"26834","Brucella suis bv. 2",3.32846,"57.1842","2","3389","2014/06/05","2017/04/02","GCA_000698345.1","suis","Brucella","chromosome I:NZ_CP007720.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/345/GCA_000698345.1_ASM69834v1/GCA_000698345.1_ASM69834v1_genomic.fasta"
"26843","Neisseria gonorrhoeae",2.22034,"52.4","1","2618","2016/06/10","2017/04/10","GCA_001661135.1","Neisseria gonorrhoeae","Neisseria gonorrhoeae","NZ_CP016017.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/135/GCA_001661135.1_ASM166113v1/GCA_001661135.1_ASM166113v1_genomic.fasta"
"26844","Enterococcus faecium",2.87819,"38.0247","4","2966","2016/03/11","2017/03/27","GCA_001587115.1","Enterococcus faecium","Enterococcus faecium","NZ_CP011828.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/587/115/GCA_001587115.1_ASM158711v1/GCA_001587115.1_ASM158711v1_genomic.fasta"
"26845","Chlamydia psittaci VS225",1.16494,"38.9605","2","1042","2012/09/19","2017/04/10","GCA_000298455.2","psittaci","Chlamydia","NC_018621.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/455/GCA_000298455.2_ASM29845v2/GCA_000298455.2_ASM29845v2_genomic.fasta"
"26846","Bifidobacterium animalis subsp. lactis B420",1.9386,"60.5","1","1613","2012/05/07","2017/07/25","GCA_000277325.1","animalis","Bifidobacterium","NC_017866.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/325/GCA_000277325.1_ASM27732v1/GCA_000277325.1_ASM27732v1_genomic.fasta"
"26847","Bacillus amyloliquefaciens",3.90597,"46.7","1","3866","2015/02/05","2017/04/03","GCA_000833005.1","Bacillus amyloliquefaciens","Bacillus amyloliquefaciens","NZ_CP010556.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/833/005/GCA_000833005.1_ASM83300v1/GCA_000833005.1_ASM83300v1_genomic.fasta"
"26850","Stenotrophomonas maltophilia",4.66874,"66.3","1","4279","2017/05/15","2017/06/15","GCA_002138415.1","Stenotrophomonas maltophilia","Stenotrophomonas maltophilia","NZ_CP015612.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/138/415/GCA_002138415.1_ASM213841v1/GCA_002138415.1_ASM213841v1_genomic.fasta"
"26858","Zymomonas mobilis subsp. mobilis",2.0458,"46.1","1","1804","2017/05/30","2017/06/12","GCA_002158845.1","mobilis","Zymomonas","NZ_CP021053.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/158/845/GCA_002158845.1_ASM215884v1/GCA_002158845.1_ASM215884v1_genomic.fasta"
"26860","Acetobacter pasteurianus IFO 3283-12",3.33699,"53.0701","7","3150","2009/08/27","2017/04/10","GCA_000010965.1","pasteurianus","Acetobacter","NC_017108.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/965/GCA_000010965.1_ASM1096v1/GCA_000010965.1_ASM1096v1_genomic.fasta"
"26861","Lactobacillus rhamnosus",2.88497,"46.8","1","2907","2017/04/03","2017/04/05","GCA_002076955.1","Lactobacillus rhamnosus","Lactobacillus rhamnosus","NZ_CP020464.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/076/955/GCA_002076955.1_ASM207695v1/GCA_002076955.1_ASM207695v1_genomic.fasta"
"26862","Pasteurella multocida subsp. multocida PMTB2.1",2.31514,"40.3","1","2198","2016/03/02","2017/08/30","GCA_001578435.2","multocida","Pasteurella","NZ_CP007205.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/435/GCA_001578435.2_ASM157843v2/GCA_001578435.2_ASM157843v2_genomic.fasta"
"26865","Brucella melitensis",3.31188,"57.2358","2","3381","2015/11/04","2017/04/04","GCA_001431745.1","Brucella melitensis","Brucella melitensis","chromosome 1:NZ_CP008750.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/431/745/GCA_001431745.1_ASM143174v1/GCA_001431745.1_ASM143174v1_genomic.fasta"
"26871","Bordetella pertussis",4.10847,"67.7","1","3967","2015/10/07","2017/03/26","GCA_001307585.1","Bordetella pertussis","Bordetella pertussis","NZ_CP011440.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/585/GCA_001307585.1_ASM130758v1/GCA_001307585.1_ASM130758v1_genomic.fasta"
"26877","Sinorhizobium meliloti RU11/001",7.69291,"61.8324","7","7740","2017/06/16","2017/06/21","GCA_001050915.2","meliloti","Sinorhizobium","NZ_CP021219.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/050/915/GCA_001050915.2_ASM105091v2/GCA_001050915.2_ASM105091v2_genomic.fasta"
"26879","[Haemophilus] ducreyi",1.73854,"38.2","1","1722","2016/05/19","2017/04/05","GCA_001647855.1","[Haemophilus] ducreyi","[Haemophilus] ducreyi","NZ_CP015431.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/647/855/GCA_001647855.1_ASM164785v1/GCA_001647855.1_ASM164785v1_genomic.fasta"
"26880","Corynebacterium diphtheriae C7 (beta)",2.49919,"53.5","1","2444","2012/01/13","2017/03/30","GCA_000255175.1","diphtheriae","Corynebacterium","NC_016801.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/175/GCA_000255175.1_ASM25517v1/GCA_000255175.1_ASM25517v1_genomic.fasta"
"26882","Mycoplasma pneumoniae 39443",0.817184,"40","1","789","2015/08/21","2017/04/04","GCA_001272715.1","pneumoniae","Mycoplasma","NZ_CP010540.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/272/715/GCA_001272715.1_ASM127271v1/GCA_001272715.1_ASM127271v1_genomic.fasta"
"26883","Yersinia enterocolitica",4.65108,"46.9582","2","4334","2015/10/02","2017/03/26","GCA_001305635.1","Yersinia enterocolitica","Yersinia enterocolitica","NZ_CP011286.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/635/GCA_001305635.1_ASM130563v1/GCA_001305635.1_ASM130563v1_genomic.fasta"
"26885","Dehalococcoides mccartyi GY50",1.40742,"47","1","1499","2013/11/26","2017/04/02","GCA_000499365.1","mccartyi","Dehalococcoides","NC_022964.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/365/GCA_000499365.1_ASM49936v1/GCA_000499365.1_ASM49936v1_genomic.fasta"
"26888","Leuconostoc mesenteroides subsp. mesenteroides",2.12404,"37.6","1","2143","2017/05/02","2017/05/06","GCA_002117185.1","mesenteroides","Leuconostoc","NZ_CP015442.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/117/185/GCA_002117185.1_ASM211718v1/GCA_002117185.1_ASM211718v1_genomic.fasta"
"26899","Serratia marcescens",5.12587,"59.7","1","4849","2016/06/20","2017/04/21","GCA_001672055.1","Serratia marcescens","Serratia marcescens","NZ_CP016032.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/055/GCA_001672055.1_ASM167205v1/GCA_001672055.1_ASM167205v1_genomic.fasta"
"26900","Lactobacillus plantarum subsp. plantarum",3.27324,"44.4271","3","3214","2017/07/05","2017/09/06","GCA_001272315.2","plantarum","Lactobacillus","NZ_CP016270.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/272/315/GCA_001272315.2_ASM127231v2/GCA_001272315.2_ASM127231v2_genomic.fasta"
"26901","Mannheimia haemolytica",2.70535,"41","1","2777","2015/03/26","2017/04/03","GCA_000963635.1","Mannheimia haemolytica","Mannheimia haemolytica","NZ_CP011098.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/635/GCA_000963635.1_ASM96363v1/GCA_000963635.1_ASM96363v1_genomic.fasta"
"26902","Lactobacillus brevis",2.57125,"45.5943","6","2639","2017/06/06","2017/06/08","GCA_002173555.1","Lactobacillus brevis","Lactobacillus brevis","NZ_CP021479.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/173/555/GCA_002173555.1_ASM217355v1/GCA_002173555.1_ASM217355v1_genomic.fasta"
"26904","Mycoplasma gallisepticum WI01_2001.043-13-2P",0.939844,"31.6","1","780","2012/08/10","2017/03/30","GCA_000286755.1","gallisepticum","Mycoplasma","NC_018410.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/755/GCA_000286755.1_ASM28675v1/GCA_000286755.1_ASM28675v1_genomic.fasta"
"26905","Campylobacter coli",1.66852,"31.5","1","1707","2016/05/06","2017/03/20","GCA_001639125.1","Campylobacter coli","Campylobacter coli","NZ_CP015528.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/125/GCA_001639125.1_ASM163912v1/GCA_001639125.1_ASM163912v1_genomic.fasta"
"26906","Burkholderia sp. HB1",7.20617,"62.9398","2","6420","2015/09/17","2017/04/11","GCA_001293045.1","sp.","Burkholderia","chromosome 1:NZ_CP012192.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/293/045/GCA_001293045.1_ASM129304v1/GCA_001293045.1_ASM129304v1_genomic.fasta"
"26910","Propionibacterium acnes C1",2.519,"60.1","1","2568","2012/10/03","2017/03/30","GCA_000302515.1","acnes","Propionibacterium","NC_018707.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/515/GCA_000302515.1_ASM30251v1/GCA_000302515.1_ASM30251v1_genomic.fasta"
"26915","Mycoplasma bovis",1.01675,"29.3","1","867","2017/03/02","2017/03/06","GCA_002009275.1","Mycoplasma bovis","Mycoplasma bovis","NZ_CP019639.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/009/275/GCA_002009275.1_ASM200927v1/GCA_002009275.1_ASM200927v1_genomic.fasta"
"26916","Proteus mirabilis",4.28659,"39.7105","3","4024","2017/09/18","2017/09/18","GCA_002310875.1","Proteus mirabilis","Proteus mirabilis","CP017082.1; plasmid pT211:CP017083.1; plasmid pT212:CP017084.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/310/875/GCA_002310875.1_ASM231087v1/GCA_002310875.1_ASM231087v1_genomic.fasta"
"26917","Enterobacter cloacae",4.92744,"55.0476","5","4863","2014/11/17","2017/06/28","GCA_000784905.1","Enterobacter cloacae","Enterobacter cloacae","NZ_CP009854.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/905/GCA_000784905.1_ASM78490v1/GCA_000784905.1_ASM78490v1_genomic.fasta"
"26922","Citrobacter koseri",4.93609,"53.8005","3","4863","2017/06/27","2017/06/27","GCA_002208985.1","Citrobacter koseri","Citrobacter koseri","CP022073.1; plasmid unnamed1:CP022074.1; plasmid unnamed2:CP022075.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/208/985/GCA_002208985.1_ASM220898v1/GCA_002208985.1_ASM220898v1_genomic.fasta"
"26934","Mycobacterium abscessus",5.17314,"64.2","1","5208","2015/11/03","2017/03/18","GCA_001430775.1","Mycobacterium abscessus","Mycobacterium abscessus","NZ_CP013049.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/430/775/GCA_001430775.1_ASM143077v1/GCA_001430775.1_ASM143077v1_genomic.fasta"
"26935","Bifidobacterium breve S27",2.29446,"58.7","1","2005","2014/02/14","2017/04/02","GCA_000569075.1","breve","Bifidobacterium","NZ_CP006716.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/569/075/GCA_000569075.1_ASM56907v1/GCA_000569075.1_ASM56907v1_genomic.fasta"
"26943","Paenibacillus polymyxa",6.12612,"45.6","1","5432","2016/11/10","2017/04/05","GCA_001874425.2","Paenibacillus polymyxa","Paenibacillus polymyxa","NZ_CP017968.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/425/GCA_001874425.2_ASM187442v2/GCA_001874425.2_ASM187442v2_genomic.fasta"
"26947","Aeromonas hydrophila",4.90827,"61.1","1","4561","2015/03/26","2017/04/03","GCA_000963645.1","Aeromonas hydrophila","Aeromonas hydrophila","NZ_CP011100.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/645/GCA_000963645.1_ASM96364v1/GCA_000963645.1_ASM96364v1_genomic.fasta"
"26949","Pseudomonas stutzeri",4.65015,"64","1","4342","2015/06/24","2017/04/03","GCA_001038645.1","Pseudomonas stutzeri","Pseudomonas stutzeri","NZ_CP011854.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/038/645/GCA_001038645.1_ASM103864v1/GCA_001038645.1_ASM103864v1_genomic.fasta"
"26952","Granulibacter bethesdensis",2.69074,"58.5","1","2423","2016/12/06","2017/08/31","GCA_001889525.1","Granulibacter bethesdensis","Granulibacter bethesdensis","NZ_CP018192.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/525/GCA_001889525.1_ASM188952v1/GCA_001889525.1_ASM188952v1_genomic.fasta"
"26955","Candidatus Carsonella ruddii",0.173802,"14.8","1","227","2017/03/02","2017/03/02","GCA_002009355.1","Carsonella","Candidatus","CP019943.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/009/355/GCA_002009355.1_ASM200935v1/GCA_002009355.1_ASM200935v1_genomic.fasta"
"26987","Bacteroides dorei",5.72909,"42","1","4713","2014/08/06","2014/08/06","GCA_000738045.1","Bacteroides dorei","Bacteroides dorei","CP007619.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/738/045/GCA_000738045.1_ASM73804v1/GCA_000738045.1_ASM73804v1_genomic.fasta"
"26995","Lactobacillus paracasei",2.94254,"46.5","1","3014","2017/08/16","2017/08/17","GCA_002257625.1","Lactobacillus paracasei","Lactobacillus paracasei","NZ_CP017716.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/257/625/GCA_002257625.1_ASM225762v1/GCA_002257625.1_ASM225762v1_genomic.fasta"
"27025","Vibrio alginolyticus",5.38918,"44.6055","2","5037","2017/05/09","2017/05/22","GCA_002119585.1","Vibrio alginolyticus","Vibrio alginolyticus","chromosome 1:NZ_CP017911.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/119/585/GCA_002119585.1_ASM211958v1/GCA_002119585.1_ASM211958v1_genomic.fasta"
"27028","Corynebacterium pseudotuberculosis 3/99-5",2.33794,"52.2","1","2144","2012/01/10","2017/03/30","GCA_000241855.1","pseudotuberculosis","Corynebacterium","NC_016781.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/855/GCA_000241855.1_ASM24185v1/GCA_000241855.1_ASM24185v1_genomic.fasta"
"27036","Riemerella anatipestifer",2.42524,"35","1","2367","2017/03/13","2017/03/15","GCA_002025185.1","Riemerella anatipestifer","Riemerella anatipestifer","NZ_CP011859.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/025/185/GCA_002025185.1_ASM202518v1/GCA_002025185.1_ASM202518v1_genomic.fasta"
"27041","Candidatus Sulcia muelleri CARI",0.276511,"21.1","1","288","2010/09/09","2014/01/31","GCA_000147035.1","Sulcia","Candidatus","CP002163.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/035/GCA_000147035.1_ASM14703v1/GCA_000147035.1_ASM14703v1_genomic.fasta"
"27054","Vibrio anguillarum",4.25643,"44.5624","2","3981","2017/06/30","2017/09/18","GCA_002212025.1","Vibrio anguillarum","Vibrio anguillarum","chromosome 1:NZ_CP022103.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/212/025/GCA_002212025.1_ASM221202v1/GCA_002212025.1_ASM221202v1_genomic.fasta"
"27072","Corynebacterium ulcerans",2.43457,"53.4","1","2204","2015/04/03","2017/04/03","GCA_000968945.1","Corynebacterium ulcerans","Corynebacterium ulcerans","NZ_CP011095.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/945/GCA_000968945.1_ASM96894v1/GCA_000968945.1_ASM96894v1_genomic.fasta"
"27120","Piscirickettsia salmonis",3.3082,"39.6438","5","3437","2017/01/04","2017/04/06","GCA_001932755.1","Piscirickettsia salmonis","Piscirickettsia salmonis","NZ_CP013768.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/932/755/GCA_001932755.1_ASM193275v1/GCA_001932755.1_ASM193275v1_genomic.fasta"
"27127","Elizabethkingia anophelis",4.00621,"35.7","1","3704","2017/03/06","2017/03/08","GCA_002022065.1","Elizabethkingia anophelis","Elizabethkingia anophelis","NZ_CP016373.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/022/065/GCA_002022065.1_ASM202206v1/GCA_002022065.1_ASM202206v1_genomic.fasta"
"27130","Rhizobium phaseoli",6.7455,"61.3664","5","6574","2016/06/17","2017/04/05","GCA_001664285.1","Rhizobium phaseoli","Rhizobium phaseoli","NZ_CP013552.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/285/GCA_001664285.1_ASM166428v1/GCA_001664285.1_ASM166428v1_genomic.fasta"
